author,author_url,build_with,desc_len,hackathon_names,hackathon_status,hackathon_urls,is_winner,num_cmts,num_imgs,num_likes,project_name,project_url,software_url,win_titles
Anirudh Kuchibhatla||Kunal Rai||pjchickey||Joshua Kowal||thesalmonification,https://devpost.com/anirudhkuchibhatla||https://devpost.com/kunalrye||https://devpost.com/pjchickey||https://devpost.com/endgamekowal||https://devpost.com/thesalmonification,keras||math||matplotlib||numpy||python||regression||scipy||sklearn||tensorflow,1472,Rice Datathon 2020,,https://rice-datathon-2020.devpost.com/,False,0,4,2,Chevron ROP Prediction,https://devpost.com/software/chevron-challenge,https://github.com/anirudhkuchibhatla/RiceDatathon2020,
Vincent Thiemann||JT Doyle||Josua Moeller||John (Jack) Burke,https://devpost.com/froggynardo||https://devpost.com/doylejt3||https://devpost.com/213080||https://devpost.com/Akamarus,bash||python||raspberry-pi,1297,CincyHacks 2020,,https://cincyhacks-2020.devpost.com/,False,0,3,0,Sight Headset (v2),https://devpost.com/software/sight-headset-v2,,
ugpg2000 Eid||Prashant Mistry||Noureldin Abdel Kerim,https://devpost.com/ugpg2000||https://devpost.com/shant1235||https://devpost.com/zhnabdelke,dlib||google-geocoding||opencv||python||raspberry-pi,4078,DeltaHacks VI,,https://deltahacks6.devpost.com/,False,0,7,0,DriveSafe,https://devpost.com/software/drivesafe-ub4joi,https://github.com/Moustafa-Eid/DriveSafe-Pi-Arduino,
Alicia Devasia,https://devpost.com/amdevas,css||html||javascript||node.js,1256,CUhackit2020,,https://cuhackit2020.devpost.com/,False,0,4,0,Talk It Out,https://devpost.com/software/talk-it-out-pv49cl,http://34.204.198.164:3000/,
Jack McElhinney||William Hendrickson||Samuel Murtaugh,https://devpost.com/jcmcelh||https://devpost.com/wlhendr||https://devpost.com/smurtau,google-cloud||ios-shortcuts||python,1478,CUhackit2020,,https://cuhackit2020.devpost.com/,False,0,1,0,find your way with tech,https://devpost.com/software/find-your-way-with-tech,https://www.icloud.com/shortcuts/e3bb71f767dc41489e7b3e6671c38938,
B Horn,https://devpost.com/bahorn,interference||javascript||radio||rf,1275,ManMetHacks 2.0,,https://manmethacks2020.devpost.com/,False,0,2,0,dj whitenoize,https://devpost.com/software/dj-whitenoize,https://github.com/bahorn/djwhitenoize||https://twitter.com/RobotGeoffrey/status/1221182828542558209,
Ibrahim Abdul Hammed||Malhar Shah||Mujtaba521 Khan||shrenikbhatt Bhatt,https://devpost.com/Ibrahim-A||https://devpost.com/malharshah||https://devpost.com/Mujtaba521||https://devpost.com/shrenikbhatt,css||da-vinci-api||flask||html||json||mongodb||python||scikit-learn||td,2133,DeltaHacks VI,,https://deltahacks6.devpost.com/,True,0,5,0,Project Apati,https://devpost.com/software/frauddetectiondeltahacks2020,https://github.com/mshah0722/FraudDetectionDeltaHacks2020||https://slides.com/malharshah/deck#/projectapati,Best Finance Hack
Aung Myat||Matin Hormati||Andrew Arpasi,https://devpost.com/aungkaungmyat||https://devpost.com/mthormati||https://devpost.com/AndrewDev,amazon-web-services||audiokit||node.js||socket.io||swift||youtube,1309,BoilerMake VII,,https://boilermake-vii.devpost.com/,False,0,2,0,Yodl,https://devpost.com/software/yodl,https://yodl.aws.andrewarpasi.com/,
Charles Truluck||Tillson Galloway||Spencer Hewitt,https://devpost.com/charlesMe||https://devpost.com/ttg||https://devpost.com/SpencerHewitt,css||go||html||javascript||react,423,CUhackit2020,,https://cuhackit2020.devpost.com/,False,0,0,0,GrizzlyBear,https://devpost.com/software/grizzlybear,https://github.com/tillson/GrizzlyBear,
neil sehgal,https://devpost.com/neil-sehgal,css||html||javscript||love,767,Hack@Brown 2020,,https://hackatbrown2020.devpost.com/,False,0,1,0,Project EDEN,https://devpost.com/software/project-eden,https://neil-sehgal.github.io/ProjectEDEN/,
